ID	ALB	ARM	AUS	AUT	AZE	BEL	BGD	BGR	BHR	BLR	BRA	CAN	CHE	CHN	CZE	DEU	DOM	ECU	EGY	ESP	ETH	FRA	GBR	GEO	GRC	GTM	HRV	HUN	IDN	IND	IRN	IRQ	ITA	JOR	JPN	KAZ	KEN	KGZ	KOR	LBN	LKA	LVA	MDG	MEX	MKD	MOZ	MYS	NER	NGA	NLD	NPL	PAK	PER	PHL	POL	PRK	PRT	RUS	SDN	SLV	SRB	SWE	SYR	THA	TJK	TUR	TWN	TZA	UGA	UKR	USA	UZB	VEN	VNM	ZAF
HUN	-	-	-	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	140	-	-	-	-	-	-	-	-	-	-	-	-	-
IDN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IND	-	-	96	-	-	-	43474	-	-	-	-	11	-	939	-	-	-	-	-	40	-	-	-	-	5	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	571	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	2418	-	-	-	4
IRN	-	610	-	2	1170	-	-	319	-	-	-	-	-	-	-	88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	53	-	-	-	-	-	-	-	-	12	-	-	-	10	-	-	-	-	-	-	-	-	-	-	-	-	-
IRQ	-	-	-	-	-	-	-	98	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	433	-	-	-	-	-	-	-	-	-	-	-	-
ITA	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	125	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	-	-	-	-	-	-	-	-	-	-	-	-	-
KAZ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23498	-	-	-	-	-	-	-	-	-	-	-	512	-	-	-	-	-
KEN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43648	1	-	-	-	-	-	-	-	-	-	-	-	-	54	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	391	-	-	-	-	-	-	-
KGZ	-	-	-	-	-	-	-	-	-	-	-	-	-	217	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43724	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	277	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KOS	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LAO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2510	-
LBN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	269	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LTU	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LUX	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	117	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
