ID	AGO	ALB	ANT	ARE	ARG	AUS	BEL	BEN	BGD	BGR	BHS	BRA	CAN	CHE	CHL	CMR	CPV	CRI	CUB	DEU	DMA	DNK	DOM	ESP	ETH	FRA	GBR	GHA	GRC	GTM	GUY	HKG	HND	HRV	HTI	IND	IRL	ISR	ITA	JAM	JPN	KEN	LUX	MAR	MEX	MOZ	NGA	NIC	NLD	PAK	PAN	PHL	PNG	POL	PRI	PRT	PRY	ROU	RUS	SAU	SLV	SUR	SWE	SYR	TTO	TUR	TZA	UKR	URY	USA	VEN	VNM	ZAF	ZMB
GLP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GNB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GTM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	10	-	-	-	18	-	1	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	16177	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-
GUF	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
GUY	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2611	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HND	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	423	-	-	-	-	-	-	-	-	-	-	-	-	-
HTI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
HUN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	71	-	-	-	-
IND	-	-	-	10930	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ITA	-	-	-	262	-	-	7	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	90	453	7	6	-	1	-	-	-	-	-	-	-	-	53	-	-	-	-	-	32	-	-	43556	-	43	-	-	-	-	-	-	2	-	1	27	12	-	-	-	-	-	95	-	397	-	-	-	-	-	-
JAM	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	-	-	97	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
KHM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LCA	-	-	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	56	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LUX	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	173	-	-	-	-	-	-	-	-	-	-	-	-	287	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LVA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MAR	-	-	-	-	-	-	-	100	-	-	-	-	-	-	-	42	1	-	-	-	-	-	-	22	-	1	-	138	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	221	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MEX	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	26	42	-	-	-	173	-	53	-	-	-	-	-	-	-	-	-	-	-	-	88	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	43536	23008	-	-	-	-
MLT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	112	-	-	-	-	-	-	-	-	-	-
MTQ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	91	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NGA	-	-	-	-	-	-	-	43709	-	-	-	581	-	-	-	117	-	-	-	15	-	-	-	767	-	11	184	-	3	-	-	-	-	-	-	284	-	-	4	-	-	-	-	3	-	-	-	-	-	40	-	-	-	44	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	1	-	-	179	-
NIC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	445	-	-	-	-	-	-	-	-	-	-	-	-	-
NLD	-	-	-	-	-	-	-	-	-	59	-	-	-	-	-	-	-	-	-	29	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	47	-	-	-	129	7	-	-	-	-	-	-	-	37	-	-	-	-	-	62	3	-	-	-	29	-	-	-	-	-	-	-	-	-	-	-
PAK	-	-	-	2	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43499	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-
PAN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	77	-	-	-	178	1847	-	3	-	2	-	-	-	-	-	-	-	-	-	-	43586	-	-	-	-	-	-	-	200	-	-	-	-	-	-	-	-	2	-	-	30	-	-	-	29	-	-	-	-	-	-	-	-	-	-	-
PER	-	-	-	-	-	-	-	-	-	2	-	-	-	-	2935	-	-	-	14	143	-	-	1394	2648	-	38	-	-	-	-	-	-	-	-	-	-	-	-	198	-	-	-	-	426	-	-	-	-	-	-	-	-	373	-	-	62	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRT	332	-	-	-	-	-	523	-	-	8	-	-	-	72	-	-	19	-	-	74	-	4	-	757	-	23043	99	43617	9	-	-	-	-	-	-	-	37	-	11689	-	-	-	51	121	-	683	161	-	756	-	-	-	-	854	-	-	-	257	-	-	-	-	-	-	-	-	59	-	-	-	-	-	182	-
PRY	-	-	-	-	1252	-	-	-	-	1	-	10920	-	23	-	-	-	-	10	5	-	-	-	526	-	10	-	-	-	-	-	65	-	-	-	-	-	22	174	-	-	-	-	-	-	72	-	-	13	-	-	-	-	-	-	6	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	-	4	-
ROU	-	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	8	1	-	-	-	-	-	-	-	21	-	43664	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SLV	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	43586	-	-	-	-	-	3401	-	-	-	-	-	-	-	-	2	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	618	-	-	-	-
SRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
STP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SUR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	2	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TTO	-	-	-	-	-	-	-	-	-	-	-	-	43690	21	-	-	-	-	-	287	-	-	-	110	-	-	1156	-	-	-	-	-	-	-	-	12	-	-	-	-	-	-	-	-	-	-	12	-	43525	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	57482	-	-	-	-
TZA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	419
URY	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	-	-	-	8	-	-	-	365	-	4	-	-	-	-	-	-	-	-	-	-	-	-	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
USA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	14	31	-	-	-	-	-	-	-	-	-	-	-	-	-	-	76	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VEN	93	-	-	113	982	1200	9	-	597	9	-	8261	43472	24	671	-	43713	2230	89	52	394	1	-	5422	-	43503	2060	-	82	491	26724	24	-	-	381	1510	125	-	517	440	-	91	-	44	9958	78	2136	-	1865	8	-	23	-	-	-	924	-	31	14	-	-	1297	9	74	61062	-	65	-	-	4536	-	-	2002	237
ZAF	-	-	-	-	-	-	-	-	-	-	-	-	-	2	-	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	88	-	-	43618	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ZMB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	222	-
